Peak Indices,Peak Times,Peak Temps
1033,20.66400098,16.727293435187676
2539,50.78400241,16.695739861060396
9512,190.24400903,16.561288154840195
11430,228.60401086,16.53267621671546
12190,243.80401158,16.526220749179302
12392,247.84401177,16.52503724787204
12652,253.04401202,16.523979909576365
12892,257.84401225,16.523369173968955
13167,263.34401250999997,16.522992832391097
13487,269.74401281,16.522868102788575
13976,279.52401328,16.522133689913378
14728,294.56401399,16.51728726609616
17459,349.18401658,16.443103414353274
25358,507.16402409,16.369324137537586
27422,548.4440260499999,16.365808629802885
27721,554.42402633,16.36457720639282
27991,559.82402659,16.363350790491737
28283,565.6640268699999,16.361922746846037
28696,573.92402726,16.360849450785153
29196,583.92402773,16.36250825464597
30268,605.36402875,16.378963287483003
32342,646.84403072,16.44645840900144
32687,653.74403105,16.45764627283899
32972,659.44403132,16.465927274526294
33378,667.56403171,16.474588575742512
33958,679.16403226,16.482556201728727
34976,699.52403322,16.49123090695284
41998,839.9640399,16.512044597955075
42217,844.3440401,16.512236865317437
42445,848.90404032,16.51249818597943
42725,854.5040405899999,16.512662134072894
43037,860.74404088,16.51246053206958
43324,866.4840411499999,16.51213094807921
43729,874.5840415399999,16.511574121129573
44183,883.66404197,16.511703402737904
44590,891.80404236,16.513244006900987
45019,900.38404277,16.51667972576423
45529,910.58404325,16.52371421859689
46128,922.56404382,16.535563722100264
46749,934.98404441,16.549191400659648
47545,950.90404516,16.57108221260277
48212,964.2440458,16.588048265614606
49197,983.94404673,16.606323687423288
50567,1011.34404804,16.620793279756466
51947,1038.94404935,16.632437887300753
62273,1245.46405916,16.571000855278857
64246,1284.92406103,16.530983727733545
66655,1333.10406332,16.51704126104509
67375,1347.504064,16.514615738774552
67669,1353.38406428,16.51365579367723
67933,1358.66406453,16.512516338804893
68295,1365.90406488,16.51125851947049
68696,1373.92406526,16.509932004149327
69329,1386.58406586,16.507753889519098
